BatchIdx	TestPerBatchMean
0	2.061413288116455
1	2.1141281127929688
2	2.143808603286743
3	2.1632065773010254
4	2.134326934814453
5	2.1393890380859375
6	2.151918649673462
7	2.184986114501953
8	2.0438780784606934
9	2.1509978771209717
10	2.1738409996032715
11	2.1336307525634766
12	2.121486186981201
13	2.107606887817383
14	2.05373477935791
15	2.058755397796631
16	2.0445127487182617
17	2.090264320373535
18	2.130258321762085
19	2.1127586364746094
20	1.650949239730835
21	1.669569969177246
22	1.6986844539642334
23	1.6820571422576904
24	1.6788725852966309
25	1.7108218669891357
26	1.698026180267334
27	1.7046523094177246
28	1.6740542650222778
29	1.6700477600097656
30	1.7502250671386719
31	1.7072625160217285
32	1.706254005432129
33	1.6997146606445312
34	1.6769781112670898
35	1.6644946336746216
36	1.721999168395996
37	1.7067501544952393
38	1.7092266082763672
39	1.7278029918670654
40	1.3328042030334473
41	1.3477420806884766
42	1.3720769882202148
43	1.3924498558044434
44	1.3769458532333374
45	1.414202332496643
46	1.3583390712738037
47	1.3856598138809204
48	1.3558499813079834
49	1.3458328247070312
50	1.3848414421081543
51	1.3373326063156128
52	1.3595961332321167
53	1.3701093196868896
54	1.3147003650665283
55	1.3003950119018555
56	1.4579052925109863
57	1.435927152633667
58	1.3372355699539185
59	1.3723973035812378
60	1.0634675025939941
61	1.0150387287139893
62	1.0104570388793945
63	1.0535736083984375
64	1.1074398756027222
65	1.0890543460845947
66	1.0315994024276733
67	0.9986672401428223
68	1.1050117015838623
69	0.9795951843261719
70	1.0456185340881348
71	1.0682774782180786
72	1.099353551864624
73	1.093297004699707
74	0.9712809324264526
75	0.9911421537399292
76	1.050457239151001
77	1.0391545295715332
78	0.9995259642601013
79	1.137656331062317
80	1.0507981777191162
81	1.0220708847045898
82	0.9536874294281006
83	1.030294418334961
84	1.088576078414917
85	1.1102403402328491
86	1.0530705451965332
87	1.031308889389038
88	1.032318115234375
89	1.0377305746078491
90	1.0838384628295898
91	1.130814790725708
92	1.0878210067749023
93	1.0848016738891602
94	1.0275726318359375
95	1.029059886932373
96	1.080954670906067
97	1.0168514251708984
98	1.0488133430480957
99	1.0958729982376099
100	0.8162106275558472
101	0.789456844329834
102	0.8725274205207825
103	0.8812103867530823
104	0.8929553031921387
105	0.8644940257072449
106	0.832865834236145
107	0.8116484880447388
108	0.820754885673523
109	0.8409063220024109
110	0.8749837875366211
111	0.8937640190124512
112	0.8784229755401611
113	0.9110463261604309
114	0.8056447505950928
115	0.798843264579773
116	0.8514240980148315
117	0.8628649115562439
